criterion_id,score,weight,name,description
1,0.0,60.0,Beauty/Appearance,"Beauty and appearance criteria"
2,0.0,40.0,Presentation & Neatness,"Criteria for presentation and neatness"
3,0.0,50.0,Execution & Skill,"Criteria for execution and skill"
4,0.0,30.0,Creativity and Originality,"Criteria for creativity and originality"
5,0.0,20.0,Stage Presence & Overall Performance,"Criteria for stage presence and overall performance"
6,0.0,50.0,Content of Speech,"Criteria for content of speech"
7,0.0,50.0,Presentation and Delivery,"Criteria for presentation and delivery"
8,0.0,50.0,Stage Presence,"Criteria for stage presence"
9,0.0,50.0,Audience Impact,"Criteria for audience impact"
10,0.0,40.0,Delivery/Confidence,"Criteria for delivery and confidence"
11,0.0,50.0,Content of Answer,"Criteria for content of answer"
12,0.0,50.0,Social Media Engagement,"Criteria for social media engagement"
13,0.0,40.0,Authenticity,"Criteria for authenticity"
14,0.0,10.0,Positive Impact,"Criteria for positive impact"